TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,InstantaneousGrowthRate,InstantaneousVelocity,divideFlag,Major_axis,Minor_axis,parent
1,1,-1.5018028520175208,1,51.05118110236221,99.66929133858268,0.071,-0.034,False,27.7582581081742,11.703787498030351,0
2,1,-1.477113584397611,1,51.04782608695652,99.48260869565216,0.264,-0.0,False,28.115242364312227,10.5135716283233,0
3,1,-1.4958929886003924,1,51.16455696202532,99.42194092827005,0.23,0.031,False,29.43610894094587,10.346197695184395,0
4,1,-1.4860889757952607,1,51.1,99.628,0.185,0.032,False,30.58750205303705,10.516966014752278,0
5,1,-1.4916258179282225,1,51.05384615384615,99.83076923076923,0.945,0.011,False,31.51354932529017,10.663708100888972,0
6,1,-1.5105278425929751,1,51.11498257839721,99.86062717770037,0.505,0.021,False,36.23616995131486,10.266461572798544,0
7,1,-1.530446605393574,1,51.2626582278481,99.9018987341772,0.731,0.015,False,38.763603496399,10.531383710241878,0
8,1,-1.5649526671355025,1,51.088145896656535,100.07294832826749,0.49,0.059,False,42.42006867788982,10.036410246969371,0
9,1,-1.577857464326665,1,51.21169916434541,100.34261838440112,0.735,-0.065,False,44.87059209649164,10.363378074788118,0
10,1,-1.6113816552068712,1,51.25848563968668,99.9556135770235,,,True,48.54471913516199,10.379308740758365,0
11,2,-1.6226589004160403,1,50.440298507462686,88.51119402985074,0.321,0.087,False,33.57227830632404,10.337937264113426,1
11,3,-1.5401174375950353,1,51.91959798994975,114.964824120603,0.063,0.203,False,26.12934903174566,9.821943462620524,1
12,2,-1.6529567602536908,1,50.71071428571429,88.85714285714286,-0.67,0.108,False,35.17586361676123,10.360307222944185,1
12,3,-1.430128519239596,1,51.261538461538464,116.36923076923075,0.105,-0.211,False,26.442210456728443,9.481719110284876,1
13,2,-1.6588025824004522,1,50.81102362204725,89.42125984251969,0.564,-0.079,False,31.82525440293455,10.372316571144196,1
13,3,-1.4521109860111028,1,51.34825870646766,115.17412935323384,0.164,0.243,False,26.96825782762637,9.667035032238982,1
14,2,-1.6646479042855744,1,50.74181818181818,89.00363636363636,-0.107,-0.089,False,34.64539574845505,10.283119347531525,1
14,3,-1.382317940479124,1,50.99516908212561,116.65700483091788,0.582,0.049,False,27.78656053323851,9.657677058370048,1
15,2,-1.670929327395644,1,50.69776119402985,88.51865671641791,0.261,0.152,False,34.10977506826447,10.201520879903644,1
15,3,-1.3243077556155665,1,50.922413793103445,116.95689655172414,2.006,-1.402,False,30.69501806780465,9.8208169761349,1
16,2,-1.3573597349458133,1,48.12452830188679,90.80377358490566,0.586,0.166,False,35.4136250896261,9.727592646066247,1
16,3,-1.3366622735944211,1,52.82006920415225,108.36678200692042,,,True,40.72474876201612,9.337990928593374,1
17,2,-1.404310572298723,1,47.765342960288805,91.92779783393502,0.166,0.243,False,38.34584716778361,9.540895326603856,1
17,4,-1.4294286987142941,1,55.09615384615385,97.42948717948718,0.51,-0.28,False,21.53422059813216,9.284595169690348,3
17,5,-1.1603694538635685,1,50.9873417721519,117.0506329113924,0.346,-0.04,False,22.49062545939084,9.014844657150592,3
18,2,-1.474166382676176,1,47.6382252559727,93.35836177474404,0.517,0.221,False,39.17414405369667,9.793535599878728,1
18,4,-1.5177517106609353,1,55.58433734939759,95.53614457831326,0.478,-0.135,False,24.08395840414608,8.910359428377989,3
18,5,-1.1384287006651042,1,51.14792899408284,116.76331360946746,0.449,0.149,False,24.221423266822423,8.98680090498943,3
19,2,-1.5138134799979686,1,47.44408945686901,94.6964856230032,0.479,0.063,False,41.75860532684642,9.799835852593972,1
19,4,-1.546381228494648,1,55.46408839779006,94.8232044198895,0.499,-0.148,False,26.47387356431992,8.793833601989725,3
19,5,-0.9825724476688663,1,51.55865921787709,117.39664804469274,0.514,0.033,False,26.46606315517668,8.709641406351754,3
20,2,-1.5219603610580905,1,47.36716417910448,95.0865671641791,1.966,0.126,False,44.15594928367916,9.937073894139177,1
20,4,-1.5459386125258194,1,55.42131979695432,93.98984771573603,1.877,0.082,False,28.967724589614825,8.775755729903052,3
20,5,-0.8721013594277164,1,52.128865979381445,117.32474226804123,1.551,-0.003,False,29.035628425075902,8.60651159096219,3
21,2,-1.4458848057169473,1,46.96560846560847,95.98677248677248,0.247,0.074,False,53.98427191919789,9.230983315583972,1
21,4,-1.4429291864063232,1,54.912213740458014,94.75954198473282,0.439,-0.075,False,38.35448257322814,8.84858500150546,3
21,5,-0.7759397204772367,1,55.928,115.544,0.75,-0.051,False,36.79247705200538,8.898972546179536,3
22,2,-1.442477431978471,1,46.8936170212766,96.43351063829788,0.388,-0.023,False,55.219657460716654,9.019208933454795,1
22,4,-1.434751279360216,1,54.90262172284644,94.32958801498128,0.854,-0.07,False,40.55139357375747,8.575831964098166,3
22,5,-0.8029967759275073,1,56.2247191011236,115.11610486891384,0.643,-0.025,False,40.54018136707271,8.873327903775541,3
23,2,-1.4131911448735026,1,46.68733850129199,96.40568475452196,1.287,0.064,False,57.162082022029054,8.927457553944116,1
23,4,-1.4092674302498007,1,55.14576271186441,93.77966101694916,,,True,44.82236055917172,8.811891217280339,3
23,5,-0.821036639672067,1,56.49190938511327,114.84789644012945,0.902,0.058,False,43.75635398990134,9.672998738708657,3
24,2,-1.3829842803008956,1,46.47552447552447,96.86247086247086,0.973,0.022,False,63.597198957890846,8.983676824849603,1
24,6,-1.495530880050428,1,56.95092024539877,83.08588957055214,-0.007,0.158,False,24.572488838537893,8.632192446709638,4
24,7,-1.310133263978024,1,53.03703703703704,105.03703703703704,-0.146,0.198,False,25.656805191751587,8.222552981333438,4
24,5,-0.8697468232123134,1,56.41176470588236,115.21052631578948,0.728,-0.314,False,48.26678324236868,9.638562306810032,3
