ImageNumber,ObjectNumber,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1,139.6556473829201,67.27823691460055,0,1
2,1,1,139.25436408977555,67.214463840399,0,1
3,1,1,139.55172413793105,67.47783251231527,0,1
4,1,1,140.67991169977924,68.07064017660043,0,1
5,1,1,140.86363636363637,68.18398268398268,0,1
6,1,1,141.41240875912408,68.4963503649635,0,1
7,1,1,127.61089494163424,62.70038910505836,0,1
7,2,1,154.73144876325088,74.226148409894,0,2
8,1,1,125.80985915492958,62.08450704225352,0,1
8,2,1,156.0718954248366,74.87254901960785,0,2
9,1,1,124.63696369636963,61.72937293729373,0,1
9,2,1,156.15822784810126,74.9873417721519,0,2
10,1,1,126.6594427244582,61.6656346749226,0,1
10,2,1,156.2753623188406,75.72753623188406,0,2
11,1,1,127.91940298507463,61.722388059701494,0,1
11,2,1,155.3111111111111,75.58333333333333,0,2
12,1,1,130.002688172043,61.90860215053763,0,1
12,2,1,152.86265060240964,75.22409638554217,0,2
13,1,1,119.335,60.44,0,1
13,2,1,143.2421052631579,63.65263157894737,0,2
13,3,1,151.78620689655173,75.12413793103448,0,3
14,1,1,120.42990654205607,60.39252336448598,0,1
14,2,1,146.65714285714284,64.58571428571429,0,2
14,3,1,134.09333333333333,70.71111111111111,0,3
14,4,1,162.996,78.272,0,4
15,1,1,120.96412556053812,60.511210762331835,0,1
15,2,1,148.65420560747663,65.03738317757009,0,2
15,3,1,133.0042194092827,70.63291139240506,0,3
15,4,1,162.98031496062993,78.21653543307086,0,4
16,1,1,122.4156378600823,60.53909465020576,0,1
16,2,1,153.17551020408163,66.38775510204081,0,2
16,3,1,128.52044609665427,69.86988847583643,0,3
16,4,1,162.15302491103202,78.1067615658363,0,4
17,1,1,122.21825396825396,60.54761904761905,0,1
17,2,1,153.94007490636704,66.7565543071161,0,2
17,3,1,126.57243816254417,69.6713780918728,0,3
17,4,1,161.65034965034965,78.16433566433567,0,4
18,1,1,123.57291666666667,61.60069444444444,0,1
18,2,1,154.87138263665594,66.45337620578778,0,2
18,3,1,125.61514195583597,71.11041009463722,0,3
18,4,1,159.79746835443038,77.3132911392405,0,4
19,1,1,122.67333333333333,61.24333333333333,0,1
19,2,1,154.22910216718267,66.06501547987617,0,2
19,3,1,126.68059701492537,71.45671641791044,0,3
19,4,1,160.210843373494,77.33132530120481,0,4
20,1,1,141.7784090909091,60.26136363636363,0,1
20,2,1,119.64367816091954,60.85632183908046,0,2
20,3,1,116.46067415730337,67.83707865168539,0,3
20,4,1,163.94475138121547,70.61878453038673,0,4
20,5,1,161.58510638297872,78.06914893617021,0,5
20,6,1,138.84864864864866,76.22162162162162,0,6
21,1,1,140.65,55.845,0,1
21,2,1,117.43732590529248,60.41225626740947,0,2
21,3,1,115.58823529411765,67.524064171123,0,3
21,4,1,163.69060773480663,70.54696132596685,0,4
21,5,1,161.3134715025907,77.80310880829016,0,5
21,6,1,138.94387755102042,76.12755102040816,0,6
22,1,1,151.85611510791367,65.12470023980815,0,1
22,2,1,104.2433628318584,58.67256637168141,0,2
22,3,1,127.85714285714286,62.394285714285715,0,3
22,4,1,114.82296650717703,67.35406698564593,0,4
22,5,1,164.05263157894737,79.05491990846681,0,5
22,6,1,140.24770642201835,76.83944954128441,0,6
23,1,1,138.1681818181818,58.60454545454545,0,1
23,2,1,103.02586206896552,58.724137931034484,0,2
23,3,1,127.69318181818181,62.16477272727273,0,3
23,4,1,113.83185840707965,66.96902654867256,0,4
23,5,1,165.96296296296296,71.90277777777777,0,5
23,6,1,165.59417040358744,79.71748878923766,0,6
23,7,1,141.06276150627616,77.05020920502092,0,7
24,1,1,136.53571428571428,57.37301587301587,0,1
24,2,1,124.52511415525115,59.20091324200913,0,2
24,3,1,101.73003802281369,59.330798479087456,0,3
24,4,1,111.95669291338582,67.24803149606299,0,4
24,5,1,167.4655870445344,72.59919028340082,0,5
24,6,1,150.862660944206,72.70386266094421,0,6
24,7,1,142.67315175097275,77.94552529182879,0,7
24,8,1,180.49305555555554,86.25694444444444,0,8
25,1,1,128.26277372262774,52.46715328467153,0,1
25,2,1,121.94713656387665,57.01762114537445,0,2
25,3,1,102.35315985130111,59.1635687732342,0,3
25,4,1,143.89922480620154,61.310077519379846,0,4
25,5,1,111.19926199261992,67.40959409594096,0,5
25,6,1,168.03515625,72.62109375,0,6
25,7,1,149.35169491525423,71.78813559322033,0,7
25,8,1,144.08070175438596,78.31228070175439,0,8
25,9,1,180.28378378378378,86.10135135135135,0,9
26,1,1,125.13207547169812,49.79874213836478,0,1
26,2,1,117.96551724137932,55.93869731800766,0,2
26,3,1,103.87586206896552,59.73103448275862,0,3
26,4,1,161.19362186788155,69.12300683371298,0,4
26,5,1,146.46564885496184,70.22519083969466,0,5
26,6,1,110.86363636363636,69.08766233766234,0,6
26,7,1,138.1032258064516,75.27096774193548,0,7
26,8,1,156.45454545454547,83.68831168831169,0,8
26,9,1,181.56838905775075,86.58358662613982,0,9
27,1,1,123.38364779874213,48.63522012578616,0,1
27,2,1,114.40845070422536,53.267605633802816,0,2
27,3,1,152.1741935483871,64.41290322580645,0,3
27,4,1,104.58653846153847,60.1025641025641,0,4
27,5,1,142.0120481927711,68.48493975903614,0,5
