ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_3,Neighbors_FirstClosestDistance_3,Neighbors_FirstClosestObjectNumber_3,Neighbors_NumberOfNeighbors_3,Neighbors_PercentTouching_3,Neighbors_SecondClosestDistance_3,Neighbors_SecondClosestObjectNumber_3,Number_Object_Number,Parent_RunOmnipose,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1,233,522,99,60,70,42,83.7510729613734,50.712446351931334,1.791546542100462,264,0.9595634573847209,17.22396045987371,1,0.446360153256705,0.558176958566519,33.21345890278498,29.732137494637012,4.47213595499958,2.260547775778368,2.23606797749979,8.569165356138827,9.349336258499475,64.56298363130276,72.42640687119285,0.8825757575757576,0.33559368090870234,0.008585775244997465,0.10917075619796232,0.09654894375413306,0.006039568931618992,0.00543913640828636,0.0357075805308839,0.05962754220408548,0.04346960258583326,0.005434240648114925,0.003041832519282272,0.003331358082625254,0.02300624705452955,0.02343997057368786,0.025922249202923218,0.02205224741108947,0.0036400294187694414,0.0015416348558741904,0.002499888075286851,0.00183655748162286,0.013112473807405618,0.009032405815503727,0.00882998692726667,0.00786063743109293,0.01183266517392746,0.0017776725156876394,0.0027201819192814165,0.002064858967391928,0.002931490144506973,0.0009623966108201167,83.7510729613734,50.712446351931334,0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,0.0,0.0,nan,0.0,1,1,nan,0.0,0,0.0,0.0
2,1,267,540,100,60,70,42,84.0561797752809,50.72284644194757,1.6770368396259403,295,0.9541234583698321,18.437867513470433,1,0.49444444444444446,0.5962898228419645,34.007692399189565,31.38470965295043,5.0,2.4598730748212563,2.23606797749979,9.391485505499118,10.182361197642331,64.26982544329984,75.01219330881975,0.9050847457627119,0.34513193750689186,0.018655522198734974,0.12233519400114055,0.09123836120719117,0.018327798733856385,0.012704411718147705,0.0391705290689201,0.056696016508455564,0.04077194777797878,0.013290225642932205,0.010711448543282332,0.009375098569820998,0.01819067180476442,0.02092525230699588,0.02340487042931112,0.021434048713436873,0.007799725379457367,0.005391146157748014,0.005392650183729231,0.00705855916114973,0.008174714315839582,0.004475096976010055,0.006622042986700078,0.0074268873161452064,0.012279864668239611,0.0030949412069534695,0.0005801409336517454,0.0011065061581519004,0.0016792847880324738,0.005416803888630612,84.0561797752809,50.72284644194757,0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,0.30528401491911034,0.30528401491911034,nan,0.30528401491911034,1,2,1.0,1.0,1,0.30510681390749994,0.010400090016233321
3,1,278,589,101,61,70,42,84.72661870503597,51.13669064748201,1.787037126452932,304,0.96280811086298,18.81384047546846,1,0.47198641765704585,0.5595854642286519,36.695206398647024,33.1058907144937,4.47213595499958,2.4022324210661523,2.23606797749979,8.94427190999916,9.914535589918902,64.15764665759026,79.01219330881975,0.9144736842105263,0.3229567458361088,0.005963385456920228,0.10986261615955004,0.09192618957786701,0.005805570641527614,0.0030705685577199888,0.041618162873893645,0.055765700968589994,0.04362105967010934,0.0048389664221641935,0.0032205552927024464,0.0015336668849791138,0.025868238826329864,0.022203362481366964,0.027291970615132225,0.02349242899914247,0.004045877433597753,0.0013602693333046587,0.0022432865824665803,0.0003298660994945682,0.010599847040191688,0.010337565665516258,0.009799997303393785,0.010722381501063208,0.013383236795586069,0.0024122041785733118,0.00015383985064632008,0.0007083153218208277,0.0011531984979158607,0.0005810701969680407,84.72661870503597,51.13669064748201,0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,1.0638010717636386,0.7878803113326112,nan,1.0931643262517214,1,3,0.9731392126664391,2.0,1,0.670438929755079,0.41384420553444556
4,1,301,660,102,62,69,42,84.84385382059801,51.37873754152824,1.8067976147816707,329,0.9645957826124859,19.576646877473273,1,0.45606060606060606,0.5534654196014299,38.577458408625894,34.92849839314596,5.0,2.468817460685048,2.23606797749979,8.94427190999916,10.174140126154503,63.8565024580236,82.66904755831214,0.9148936170212766,0.3120480523572244,0.007368745895414394,0.11095079881224845,0.08688597807471778,0.007408015175882241,0.005471715715581852,0.03933945073851766,0.0572518219129614,0.04042220926267401,0.006015800044960406,0.004854111781117395,0.004180291077295228,0.02681848776193646,0.021213410989142336,0.029193709455237537,0.021259847701910067,0.004602652167730282,0.0021401634622953574,0.0035073234837521717,0.002953442008875533,0.009161894872246015,0.012668035342041185,0.008205374778641722,0.013620952060444723,0.01153858219538211,0.002494601032073601,0.0015295210320269532,0.0004606557376887735,0.002169373471890901,0.0018665409619635157,84.84385382059801,51.37873754152824,0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,1.2798882590375429,0.2689438068412609,nan,1.3621081330929823,1,4,0.9396377776052625,3.0,1,0.11723511556203903,0.2420468940462257
5,1,325,735,103,62,68,41,84.51384615384616,51.14769230769231,1.925089219638655,355,0.9689341695833601,20.342144725641095,1,0.4421768707482993,0.5194564437837862,41.41780434048121,37.16180835212409,5.0,2.4824366428752134,2.23606797749979,9.391485505499118,10.243400510954219,64.44488289498574,88.66904755831213,0.9154929577464789,0.2995965196016194,0.009576248191310492,0.10155678152677773,0.087075771889193,0.009269273780393088,0.00755306353494835,0.0423048204747298,0.051797358042563586,0.04289485363206819,0.006409135330708165,0.007260206213062199,0.005861576593920034,0.02493580182895757,0.02417156617285938,0.026317147947901888,0.02419346816703185,0.004776550660487214,0.004679651785213329,0.005033909670073294,0.004379227399318636,0.012648945313420392,0.011483250203933842,0.012044646392496916,0.011821397248510404,0.014373366845918265,0.0035033926589274986,0.0019030164790640228,0.0032549475784388318,0.0026415712706277152,0.003181713938992525,84.51384615384616,51.14769230769231,0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,0.8782152271290781,0.4028485573926031,nan,1.7649566904855853,1,5,0.4975845763600342,4.0,1,-0.3300076667518539,-0.23104523383592834
6,1,333,792,103,63,67,41,84.86786786786787,51.348348348348345,1.9750829865981099,370,0.9709877976979545,20.590987552733093,1,0.42045454545454547,0.506307839612554,42.769463712074796,38.48376280978771,5.0,2.472704009211503,2.23606797749979,8.94427190999916,10.227420704916032,63.90912540507738,90.9116882454314,0.9,0.2862854614428152,0.011133628257323225,0.09850976537925693,0.08291496475405803,0.011301823156301755,0.008634887656650771,0.03791205050108376,0.05280556009542706,0.040162695181614944,0.009013226052260055,0.008623817984521175,0.006614028075470369,0.026575056172911504,0.021761168944603466,0.028313575237846847,0.02212226782125415,0.006537303412409959,0.006243045618111409,0.005696089111216596,0.004965428183444987,0.012549682321659168,0.012521917355713017,0.011361460019566564,0.013656838484938974,0.012866557892622272,0.0033231169575324965,0.00513086426721654,0.002329530963487037,0.0034620037798857553,0.003558333381778883,84.86786786786787,51.348348348348345,0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,1.2851467668010326,0.4069326979374201,nan,2.1718893884230055,1,6,0.5917183322738959,5.0,1,0.35402171402171234,0.20065604065603537
7,1,360,897,105,64,66,41,85.26944444444445,51.611111111111114,2.111705396920338,400,0.9756904229267118,21.409489393833255,1,0.4013377926421405,0.4735509041452357,46.53883130258523,41.6293165929973,5.0,2.4707837226679357,2.23606797749979,9.609690621771017,10.199141612483288,63.874755604503505,97.7401153701776,0.9,0.26372772847024456,0.008902807041044397,0.09140966506591099,0.0776398651286867,0.010910228579185324,0.005139470581981693,0.03699421338126427,0.0497592138316309,0.03918467648341546,0.010077877575679302,0.006479209600108058,0.0036919145021118683,0.023480498197877942,0.023891746300527362,0.027597017967065953,0.02300499040291733,0.007729847832399565,0.006563642521303041,0.003497067837166988,0.002948338238628574,0.011941398365304067,0.013974019422038674,0.012935993179623914,0.015075757476852306,0.014352685908283355,0.005354099349136989,0.004668725187866884,0.0034416595386919306,0.0016572368797344553,0.002471111555962532,85.26944444444445,51.611111111111114,0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,1.7643838329555825,0.4799041741323822,nan,2.6517935625553877,1,7,0.6653548971041859,6.0,1,0.40157657657657353,0.2627627627627689
8,1,387,1025,106,65,65,40,85.24031007751938,51.70542635658915,2.173501204984236,439,0.9751844034522694,22.197831060995757,1,0.3775609756097561,0.4600871615377148,48.021975596197535,43.41658669218482,5.0990195135927845,2.543050446243282,2.23606797749979,9.838699100999074,10.631785510595014,63.34946227646368,102.81118318204308,0.8815489749430524,0.26069932930402906,0.012540423063741877,0.09312537242634758,0.07475122025846731,0.015311931360522599,0.007389414424659671,0.037182079041985144,0.048603894991272635,0.03744763009790401,0.013878982157985926,0.009569881769342991,0.005217409532942617,0.02449527390118242,0.02120690833335806,0.027646343749034134,0.021715837436764522,0.010719119956535898,0.008442335218850966,0.006023819049692716,0.0038520759942838453,0.010791104828250736,0.012709493869361994,0.011831762408659716,0.015512560751678891,0.013349914033146087,0.006731931123426397,0.006496648062649328,0.004339543477745097,0.003733197958378186,0.0028191050758967742,85.24031007751938,51.70542635658915,0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,1.7899263889213577,0.09871259729997202,nan,2.7505061598553597,1,8,0.65076254510751,7.0,1,-0.02913436692506366,0.09431524547803605
9,1,404,1075,107,66,64,41,85.38861386138613,52.0470297029703,2.29677042136847,473,0.9793353458667499,22.680140565547774,1,0.3758139534883721,0.4353939735100631,51.94635795818353,46.95742752749558,5.0,2.4854046756276356,2.23606797749979,10.285912696499032,10.505793602254496,63.82984562044624,107.98275605729688,0.854122621564482,0.2332828916430865,0.005930035146500841,0.08440000192343414,0.06832028174741972,0.010947493849937245,0.0015659155754216383,0.03564295773198741,0.04586870662684146,0.035264814460628784,0.010953506039538775,0.004638972210297599,0.002192523480451592,0.025401309274945775,0.021457868594825114,0.0278265081041838,0.02122730918994124,0.008600992590008141,0.007558331207958881,0.0009038957417801259,0.002341124099435097,0.013074217159933413,0.014154165241304388,0.013608816356651806,0.016942439290738964,0.013693184497452196,0.0059849972350766185,0.006420163984375976,0.0036387661050788747,0.0009538603969386417,0.0021214694545302394,85.38861386138613,52.0470297029703,0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,2.112499211854272,0.372406845490245,nan,3.122913005345605,1,9,0.6764515080113438,8.0,1,0.14830378386675136,0.34160334638114875
10,1,420,1144,107,66,63,40,84.81190476190476,51.792857142857144,2.351189312609823,492,0.9800692303594936,23.12489154112443,1,0.36713286713286714,0.42531666618116715,53.864542647002054,47.885279575251516,5.0,2.501960827842788,2.23606797749979,10.57963253309471,10.70052778429187,64.01289982801731,111.39696961966999,0.8536585365853658,0.23319402739008632,0.008833465251519259,0.07918285090867166,0.07069361413407992,0.01295808816524555,0.0031186132427644068,0.03412693810960871,0.04408695356456495,0.03724847025377682,0.013671403746236984,0.0057120378503911955,0.0023314694794961135,0.02142199425829697,0.02232930308900882,0.026428553482064042,0.022826804690624564,0.01099411407226123,0.00821899786866543,0.001853323260905521,0.001906738521049428,0.011588492253987575,0.012959462227557885,0.014244706688573658,0.015896439269231052,0.014894349859348836,0.008127799582094211,0.007502262125434627,0.0036482886171725166,0.000843210152824812,0.001471403124057729,84.81190476190476,51.792857142857144,0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,1.5141504503078762,0.6302357302939083,nan,3.7531487356395132,1,10,0.4034347042870057,9.0,1,-0.576709099481377,-0.2541725601131546
