CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
1.0,1.0,37.57143208934356,49.37959824836675,0.055,10.0,0.541,-2.9071671459178354
2.0,1.0,33.97116264581651,51.7772271034022,0.227,10.0,0.807,-2.965170323261444
3.0,1.0,35.030151265130684,40.766182269903666,-0.027,5.0,0.564,-1.8233439585320774
4.0,1.0,24.78597926677076,31.91102326835385,-0.011,7.0,0.427,-1.7777014617131393
5.0,1.0,26.154425432692864,37.309879837582685,-0.404,8.0,0.608,-2.250337775585611
6.0,1.0,39.51417343063255,43.65514779122465,-0.113,4.0,0.403,-2.8123445320914864
7.0,1.0,43.11226808786216,52.32972927267833,0.368,6.0,0.651,-3.026682529580539
8.0,1.0,19.1513618991383,26.41065818688557,-0.023,8.0,0.405,-0.2853078731569838
9.0,1.0,24.55585827673646,31.16250477307364,0.229,7.0,0.464,-2.8602805177293837
10.0,1.0,26.663673539508565,40.74960425421889,-0.258,10.0,0.651,-2.472873714262329
11.0,1.0,26.35334791437409,48.2713954632683,0.1,12.0,0.83,-0.24419601319209625
12.0,1.0,30.60637534482202,41.150648217220066,-0.07,8.0,0.544,-2.508913567760925
13.0,1.0,24.10826655265213,32.67031810933671,0.121,8.0,0.524,-0.17079286153997036
14.0,1.0,37.750359121922,43.551062910766966,-0.342,5.0,0.488,-2.89370888188487
15.0,1.0,32.395873919964494,39.72963786396844,0.025,6.0,0.559,-2.587568484954581
16.0,1.0,19.475530841565853,24.99508613573268,-0.011,6.0,0.41,-0.8000474207324045
17.0,1.0,22.034020844393776,27.94032713522418,0.035,6.0,0.43,-2.5261910142825426
18.0,1.0,20.28377631895156,24.72999410640746,0.202,5.0,0.381,-0.49784010258009903
19.0,1.0,20.827192240388623,24.465608976415105,-0.05,5.0,0.331,-0.3047136586303054
20.0,1.0,25.312335005909475,30.119571818349787,0.143,4.0,0.497,-0.3016792721834979
21.0,1.0,24.971590135242128,26.7116397890672,0.257,2.0,0.348,-2.5109990573545886
22.0,1.0,30.429964293002,32.766579971340526,-0.311,3.0,0.339,-2.288259536522842
23.0,1.0,27.734310747502832,28.24998420909917,-0.045,2.0,0.103,-2.108227457671247
24.0,1.0,28.62766530538611,30.500451952041146,-0.021,3.0,0.335,-2.825183603048385
25.0,1.0,25.84083028904617,28.131236415497938,0.248,3.0,0.384,-0.32737106321410897
26,1,22.6431695578976,,,1,NaN,-0.2954339279496893
27.0,1.0,26.216471857544736,27.877181097690478,-0.08,3.0,0.261,-2.5127854100261673
28.0,1.0,37.09553999367369,39.429118399157154,-0.35,2.0,0.467,-2.261157255004691
29.0,1.0,22.40758533370522,22.992574840689855,-0.15,2.0,0.117,-2.641729410309839
30,1,8.209569341814694,,,1,NaN,-0.10969212666710168
31.0,1.0,23.90398259735492,25.16417880943916,0.023,2.0,0.252,-2.3574934415027307
32.0,1.0,17.1254823775415,21.865565227646513,-0.163,2.0,0.948,-0.3733610576867328
33,1,7.782734438237023,,,1,NaN,-1.1402467267062004
34,1,33.99692034769482,,,1,NaN,-2.1012602689066875
35,1,19.10633793229037,,,1,NaN,-2.1341719969469573
