CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
0.0,1.0,36.2351188659668,36.2351188659668,0.018,5.0,0.231,2.649783432712525
1.0,2.0,30.316953659057617,30.316953659057617,0.049,8.0,0.515,2.7430701706934473
2,1,23.823528289794922,23.823528289794922,0.0,1,NaN,2.6516353283555385
3,3,25.01557731628418,25.01557731628418,0.0,1,NaN,2.7017500279583775
4,4,25.916839599609375,25.916839599609375,0.0,1,NaN,2.7049653955004844
5.0,2.0,25.068870544433594,25.068870544433594,0.209,7.0,0.91,2.761086189151724
6.0,5.0,26.7976016998291,26.7976016998291,0.107,3.0,0.383,2.7291821850828475
7,6,35.91996383666992,35.91996383666992,0.0,1,NaN,2.889038429514854
8,7,38.85366439819336,38.85366439819336,0.0,1,NaN,2.8753405936060856
9,8,41.75411605834961,41.75411605834961,0.0,1,NaN,2.8685840207625
10,9,42.71997833251953,42.71997833251953,0.0,1,NaN,2.855541189323837
11,1,26.914121627807617,26.914121627807617,0.0,1,NaN,2.988943322541705
12.0,2.0,30.12439727783203,30.12439727783203,0.789,3.0,0.532,3.082836928356029
13.0,2.0,35.37738037109375,35.37738037109375,0.644,5.0,0.826,3.0584512943605544
14.0,10.0,17.0,17.0,0.213,11.0,0.215,3.141592653589793
15.0,11.0,27.195589065551758,27.195589065551758,0.019,10.0,0.386,2.819842047543543
16,12,30.082115173339844,30.082115173339844,0.0,1,NaN,2.8809902235425797
17.0,13.0,33.223812103271484,33.223812103271484,-0.074,3.0,0.461,2.8049178259527934
18,14,42.37966537475586,42.37966537475586,0.0,1,NaN,3.0466409738743803
19,15,47.005409240722656,47.005409240722656,0.0,1,NaN,2.981679550668514
20.0,2.0,33.83732223510742,33.83732223510742,-0.374,5.0,0.898,0.33667482763699974
21.0,13.0,27.82804298400879,27.82804298400879,-0.368,5.0,0.521,2.819842180701597
22.0,2.0,35.881004333496094,35.881004333496094,-0.304,4.0,0.691,2.9516043393201943
23.0,2.0,31.78046417236328,31.78046417236328,0.006,6.0,0.323,2.9181160207188297
24.0,16.0,29.381441116333008,29.381441116333008,-0.183,4.0,0.619,0.26625207662846423
25.0,17.0,32.015254974365234,32.015254974365234,0.447,5.0,0.726,2.8842689743186307
26.0,2.0,21.50348663330078,21.50348663330078,0.009,3.0,0.772,2.819842047543543
27.0,16.0,19.0,19.0,-0.794,2.0,0.875,3.141592653589793
28.0,2.0,22.803504943847656,22.803504943847656,0.487,2.0,1.165,2.8753405936060856
29,2,36.97752380371094,36.97752380371094,0.0,1,NaN,0.2954408381631939
30,17,32.0,32.0,0.0,1,NaN,3.141592653589793
31,13,20.833324432373047,20.833324432373047,0.0,1,NaN,2.78282197786257
32,11,26.919464111328125,26.919464111328125,0.0,1,NaN,2.78282197786257
33,13,24.16038703918457,24.16038703918457,0.0,1,NaN,2.736700821472359
34,2,38.886962890625,38.886962890625,0.0,1,NaN,2.8049178259527934
35,2,41.7754020690918,41.7754020690918,0.0,1,NaN,2.796037115823761
36,18,23.0,23.0,0.0,1,NaN,3.141592653589793
37.0,1.0,20.87103271484375,37.10637664794922,0.134,10.0,0.457,2.637426698149693
38.0,1.0,26.0,38.574798583984375,-0.974,11.0,0.406,2.6224464835970247
39.0,2.0,26.57052230834961,30.857742309570312,0.517,7.0,0.738,2.677945096238595
40.0,2.0,36.3912353515625,32.199378967285156,-0.126,5.0,0.733,2.677945096238595
41.0,2.0,38.77946853637695,34.436336517333984,0.389,3.0,0.604,2.701750161116432
42.0,2.0,30.05855941772461,36.13663864135742,0.962,3.0,0.742,2.727085744672737
43.0,2.0,37.9299201965332,27.828275680541992,0.201,5.0,0.823,2.7291821850828475
44.0,2.0,46.473121643066406,39.290767669677734,-0.352,5.0,0.933,2.896614057551693
45,2,54.03190231323242,42.418277740478516,0.0,1,NaN,2.9181160207188297
46.0,2.0,39.03534698486328,39.0,0.228,5.0,0.854,3.141592653589793
47,2,43.41657257080078,43.278133392333984,0.0,1,NaN,3.082836928356029
48,11,29.405269622802734,29.4091796875,0.0,1,NaN,2.819842047543543
49.0,13.0,21.585670471191406,36.055259704589844,-0.229,5.0,0.495,2.79856871675599
50,13,24.0627384185791,40.145626068115234,0.0,1,NaN,2.8406723614837612
51,2,38.271942138671875,39.84942626953125,0.0,1,NaN,0.3097029313279224
52,13,25.68642234802246,30.081607818603516,0.0,1,NaN,2.7776136337187016
53.0,2.0,29.83188247680664,39.264404296875,-0.408,2.0,1.138,2.9229236922766946
54.0,16.0,23.673913955688477,33.52604293823242,-1.529,2.0,1.104,0.3009202588165183
55,17,35.8389778137207,35.05644607543945,0.0,1,NaN,2.8501359044173573
