CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength,AverageOrientation
1,0.413333333333333,21,15,-0.195588039442655,33.8,-1.04304703481571
2,0.32,20,15,-0.229666288408569,27.4666666666667,-1.12828482926972
3,0.38,21,10,-0.043839669587386,29,0.515489681421559
4,0.228571428571429,26,21,-0.0639586912005688,45,-0.815213356380199
5,0.52,26,5,-0.0308187877690318,32,0.11253065571922
6,0.714285714285714,31,7,-0.91081123828657,41.8571428571429,-1.11551886884332
7,0.9,28,6,-0.150585062708422,37.8333333333333,-0.812103664978186
8,0.44,33,5,-0.940037883526003,38.8,-1.14942834404099
9,0.4,34,5,-0.181369769773535,38.2,-1.37116145756676
10,0.733333333333333,27,6,-0.393162536837625,34,-0.559273459722101
11,0.48,28,5,0.647778998920866,33,-0.222482947340485
12,0.65,26,8,-0.836597118242513,37.75,-1.06837341162801
13,0.857142857142857,26,7,-0.490872998648712,38.5714285714286,-1.35384297693975
14,-0.0545454545454545,28,11,-0.359808089625628,39.3636363636364,-0.991215499834608
15,0.48,28,5,0.0627092866449288,34,-1.28018928258486
16,0.52,27,5,0.150851083663879,33.4,-0.6084387675508
17,0.833333333333333,28,6,0.670066074453005,36.5,0.551297777216822
18,0.84,27,5,-1.02962821816431,35.4,-1.11587302653782
19,1,33,5,0.134852109287671,41.4,-0.595206236634893
20,0.68,29,5,-0.933455334961368,34.6,-1.17516613487195
21,1.125,26,8,0.35152553542918,46.375,-0.589832101569989
22,0.755555555555556,32,9,-0.927545455853263,49.4444444444444,-1.15470474094456
23,0.657142857142857,29,7,-0.530075487967556,40.2857142857143,-1.01310238671188
24,-0.1,28,6,-0.625666361792408,31.1666666666667,-1.3632596158415
25,0.52,25,5,0.224950542427333,31.2,-1.10176517895252
26,0.433333333333333,25,6,-0.561702118257937,32.3333333333333,-0.729898673775889
27,0.966666666666667,23,6,-0.0455608092041928,32.3333333333333,-0.420847097792532
28,0.64,28,5,-2.06070132537155,32.4,-0.294644905506524
29,0.4,23,4,-1.75899892262646,27.25,-0.016436259873226
30,0.28,27,5,-1.79414166223006,31,-1.40100105408176
31,0.4,27,4,-1.19669437328972,31.25,-0.850055761716447
32,0.48,35,5,-0.956974029465518,42.4,-0.812831097898416
33,0.6,30,5,0.652721796668427,36.4,-0.446119544922141
34,-0.28,31,5,0.965549726529796,32,0.236039277952285
35,0.72,30,5,1.04562556997755,36.6,0.286519698598198
36,0,31,4,-1.35319115931486,33,-1.15833464018108
37,0.9,31,4,-0.488222749943844,37.5,-1.25995056224728
38,0.333333333333333,27,3,-2.68847142174906,28.6666666666667,-1.0725875944978
39,0.533333333333333,26,3,-1.81675872737821,29,-1.26614041108886
40,0,28,1,NaN,NaN,NaN
41,0.6,29,2,-1.07218616845023,32,-0.984158407154668
42,0,44,1,NaN,NaN,NaN
43,1.6,38,2,0.568176430295324,46,-0.387672176071358
44,0,66,1,NaN,NaN,NaN
45,0,36,1,NaN,NaN,NaN
46,0,1,1,NaN,NaN,NaN
47,0,17,1,NaN,NaN,NaN
48,0,22,1,NaN,NaN,NaN
49,0,26,1,NaN,NaN,NaN
50,0,21,1,NaN,NaN,NaN
51,0,58,1,NaN,NaN,NaN
52,0,26,1,NaN,NaN,NaN
53,0,25,1,NaN,NaN,NaN
54,0,27,1,NaN,NaN,NaN
55,0,22,1,NaN,NaN,NaN
56,0,23,1,NaN,NaN,NaN
