TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2
1,1,1,-1.10581690145241,103.777286809858,79.8288823985794,21,7.41865609572821,0,8,9
1,2,2,-1.22952272426623,110.834687516074,85.5576708289645,20,8.37690446280689,0,6,7
1,3,3,0.581504352831209,99.6431778156064,97.1924594667691,21,8.78819416428354,0,4,5
2,1,1,-1.10200695952636,104.035903296004,79.5039420431666,23,7.42663824041133,0,8,9
2,2,2,-1.22835050191467,111.313687857784,85.0370957067371,21,7.91885331294329,0,6,7
2,3,3,0.524921423041228,99.3773183386274,96.6994274956986,22,8.5819712959385,0,4,5
3,1,1,-1.11213343720097,104.524124384016,79.1250320440416,24,7.46018248748402,0,8,9
3,2,2,-1.20474693134538,111.251055030017,84.857286652585,22,7.71437765990286,0,6,7
3,3,3,0.529656508586029,99.4285096670131,96.7173815277165,23,8.31238936127988,0,4,5
4,1,1,-1.07731345743266,104.04650384784,79.4828077702335,25,7.45216862816867,0,8,9
4,2,2,-1.16008160305747,111.64926471414,85.2431643069542,22,8.01272172288596,0,6,7
4,3,3,0.491890020075246,99.25,97.66,25,8.56741800264491,0,4,5
5,1,1,-1.05762059159226,104.725351492154,79.0333370193669,26,7.53403774887756,0,8,9
5,2,2,-1.14725894080111,111.580987843181,85.2383591755755,22,7.80423494931873,0,6,7
5,3,3,0.466100172718666,98.7233361588791,97.4252970560159,26,8.69511091727468,0,4,5
6,1,1,-1.01979330767321,105.339771204108,78.0304580217284,29,7.68283929061563,0,8,9
6,2,2,-1.11812942053467,111.917723447828,84.3620334145124,24,7.89931634353722,0,6,7
6,3,3,0.495132003893734,98.93,97.48,30,8.78655581284403,0,4,5
7,1,1,-0.980438913308056,105.762958100839,77.8363001240634,31,7.23771926224104,0,8,9
7,2,2,-1.11075334490233,111.843986620588,84.633966585032,22,7.75085094342065,0,6,7
7,3,3,0.491737307140001,98.9,97.03,32,8.53280794993587,0,4,5
8,1,1,-0.948341413811178,106.260581793611,77.544518976633,32,7.69853070457857,0,8,9
8,2,2,-1.07850812645286,111.581389945346,84.5861027279605,23,7.68876835975863,0,6,7
8,3,3,0.501552950718752,98.9284184898707,97.180393901211,34,8.67075520167806,0,4,5
