CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength,AverageOrientation
1,0.4,24,10,-0.0535241212909864,32.5,0.878387015450474
2,0.466666666666667,24,6,-0.122184649704083,31.5,0.883849795559177
3,0.8,24,7,0.490811554380409,35.4285714285714,0.72683334459903
4,0.5,25,6,-0.141183625719001,30.5,0.871478730305335
5,0.36,24,5,0.245295229109284,28.2,0.729115538434723
6,0.85,29,8,-0.658069979009097,44.5,0.55290254555152
7,0.75,27,8,0.0700507839524405,41.625,0.714083414607861
8,0.514285714285714,22,7,-0.130706496349135,29.4285714285714,0.426613404873738
9,0.566666666666667,21,6,0.272546072756592,27.5,0.752271163805372
10,0.457142857142857,22,7,-0.149131412818073,29.1428571428571,-0.149287369908559
11,0.68,22,5,0.882879418984916,27.8,1.12330141635326
12,0.8,34,3,-0.335417959350941,40,-0.492061073459155
13,1.06666666666667,39,3,-0.291048201750319,48.3333333333333,0.364794365092943
14,0.26,29,10,0.252893640955506,40,0.683157559372559
15,0.933333333333333,34,3,0.814621001659284,41.6666666666667,0.688580613579266
16,0.6,20,8,-0.309025593626824,30.5,0.331948318823642
17,0.428571428571429,24,7,0.0102317662366878,30.5714285714286,0.402262653632286
18,0.675,21,8,0.650314596437391,33.375,0.986884735940468
19,0.666666666666667,22,6,-0.885323457697814,29.3333333333333,0.689490784767893
20,0.485714285714286,24,7,-0.268253275561743,32,-0.544971165907587
21,0.433333333333333,26,6,0.0545794890305042,32,-0.81196192629294
22,0.8,23,7,-0.141053282583015,36.5714285714286,0.238608903326117
23,0.85,22,4,0.132095087222125,27.5,0.239452985331121
24,1,35,5,0.5257185175397,46.6,0.408560514182402
25,0.685714285714286,26,7,-0.0136843884207134,37.2857142857143,0.292141240645658
26,0.485714285714286,25,7,0.633391013325472,33.4285714285714,0.688042910895717
27,0.64,28,5,0.349195132601543,35.2,1.07528122010856
28,0.433333333333333,20,6,-0.426541491671385,26.8333333333333,-0.518127116193469
29,1.04,23,5,-0.521796408925043,36.4,-0.749937215507291
30,0.3,39,2,-0.781591689488854,40.5,0.53864600885216
31,0.2,21,3,-0.888690981268496,22.3333333333333,0.640831528437497
32,0.2,22,3,-1.03476129914178,23,0.564534972130804
33,0.2,38,2,3.33331671408284,39,0.0543178919331166
34,0.3,30,2,0.959983322153606,31.5,0.306551210395018
35,0.2,24,2,0.415573244889319,25,0.446796424604823
36,0.2,24,2,-0.100427850322342,25,0.58609465770767
37,0.3,24,2,-0.264624838969183,25.5,0.466223252950447
38,0.2,25,2,-0.683169611030826,26,0.533753827882673
39,0.1,24,2,-0.929862001973834,24.5,0.862825874800442
40,0.1,26,2,-0.104327693864778,26.5,1.04999869776532
41,0,27,1,NaN,NaN,NaN
42,0,28,1,NaN,NaN,NaN
43,0,21,1,NaN,NaN,NaN
44,0,22,1,NaN,NaN,NaN
45,0,23,1,NaN,NaN,NaN
46,0,21,1,NaN,NaN,NaN
