TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2
1,1,1,0.441757768503495,84.2382362063502,51.1657653565513,32,7.59798017792227,0,2,3
2,1,1,0.458224894865541,84.468821589514,51.2784195699731,33,8.49196461387629,0,2,3
3,1,1,0.445865019534439,84.6387615049858,51.5622379732742,34,8.6849626604379,0,2,3
4,1,1,0.456049095537448,84.62,51.31,36,8.74128504388676,0,2,3
5,1,1,0.441818899102583,84.64,51.31,38,8.92605115107191,0,2,3
6,1,1,0.444947321470651,84.93,51.84,40,8.72393928907583,0,2,3
7,1,1,0.453116037090553,85.12,51.91,43,8.91373094851228,0,2,3
8,1,1,0.465100541613102,85.1973680947519,51.6888554293108,44,9.03204035375421,0,2,3
9,1,1,0.457666898476862,85.0633134022196,51.9919860066126,47,8.93089454669932,0,2,3
10,1,1,0.454336829051181,84.9088665165944,52.1414477307288,50,8.77686170110574,0,2,3
11,1,1,0.447604227613082,84.5628070215805,52.2285134043866,54,9.14677017360106,0,2,3
12,1,1,0.44676697926466,84.1460260509049,52.1690756767145,56,9.30428162855071,0,2,3
13,2,1,0.10921009497104,74.7455034321248,46.0370212511451,34,8.32316454348631,1,6,7
13,3,1,0.38905194915684,95.0270211507436,57.8877097671599,33,8.42357181729752,1,4,5
14,2,1,0.15255276879504,75.1940191266154,45.6241931878119,34,8.00680708209259,1,6,7
14,3,1,0.295245740993876,92.082609633486,57.527781849842,36,7.88583348789795,1,4,5
15,2,1,0.171969196347737,77.74,45.73,38,7.4873370586241,1,6,7
15,3,1,0.280472165279993,92.016809394752,57.2690751543554,36,8.00024853316928,1,4,5
16,2,1,0.194230614860436,78.75,45.8,40,7.41873361547815,1,6,7
16,3,1,0.269671754348822,91.75,57.8,38,8.13377738271718,1,4,5
17,2,1,0.210572196494438,80.42,46.42,46,7.0867069269086,1,6,7
17,3,1,0.265482492735777,89.1998918781511,56.8238465368863,43,7.66458491137178,1,4,5
18,2,1,0.213397412328265,80.7358907323387,46.4013414762794,48,7.42782219154093,1,6,7
18,3,1,0.253340101808943,87.6459596679444,56.7646805803416,46,7.78272514740962,1,4,5
19,2,1,0.234282735463374,82.7097321372291,47.2575867616004,54,7.22170487161888,1,6,7
19,4,1,0.1822486216614,73.9893792944064,53.3517193180237,28,7.27615609928825,3,16,17
19,5,1,0.329364633125091,99.4182790604693,59.8331240193832,26,7.64343556498762,3,14,15
20,2,1,0.231046058234499,83.9644979551844,47.3732863077141,56,7.32102750718342,1,6,7
20,4,1,0.175540658108753,75.2703636127406,53.2649958747504,26,7.38147163029977,3,16,17
20,5,1,0.339611360904869,100.183439662178,59.8314421002249,27,7.50502882713657,3,14,15
21,2,1,0.259204578145193,83.8881558914687,47.3967029200566,64,7.21990330837194,1,6,7
21,4,1,0.189729852161444,72.2689723904472,52.2857031991166,29,7.18585259479367,3,16,17
21,5,1,0.345223006736011,99.5907967324993,60.3505000045346,30,7.36585016376469,3,14,15
22,4,1,0.206129260818751,71.2582484375159,52.6770789174027,31,7.45254348299291,3,16,17
22,5,1,0.338977870238049,99.6837383497492,60.26154752004,31,7.44509596862744,3,14,15
22,6,1,0.243753090967024,70.7293267682264,43.7752195081953,39,7.14855964187395,2,8,9
22,7,1,0.36377565645613,102.35,52.29,28,7.12243233686034,2,12,13
23,4,1,0.22187215772044,69.6399437264868,52.3754871790482,35,7.58753654803897,3,16,17
23,5,1,0.323924141027383,101.700855468639,60.8739968545655,35,7.50492878493301,3,14,15
23,6,1,0.262904969754138,69.6172936579551,43.2356956919156,43,7.27749140762398,2,8,9
23,7,1,0.337862456447395,104.694264423674,53.3717326772017,32,7.06464121613583,2,12,13
24,4,1,0.154834098466533,70.6317652509243,51.830929036803,35,7.31263822350924,3,16,17
24,5,1,0.221542965055023,101.78,61.42,37,7.42378278710018,3,14,15
24,6,1,0.193422073512068,70.9048873547281,43.2865952582403,45,7.29959939984351,2,8,9
24,7,1,0.233388562074115,103.78,53.92,33,6.99028346370426,2,12,13
25,4,1,0.174556902283965,68.4570905197703,51.1403694885103,42,7.26171066496127,3,16,17
25,5,1,0.142780558120779,100.21,61.25,42,7.47673572823684,3,14,15
25,6,1,0.150001093596496,74.4111215724198,42.7275418290209,52,7.20026712499732,2,8,9
25,7,1,0.231860140048264,106.953167963617,54.1618652174075,36,7.37133659034653,2,12,13
26,4,1,0.192818407659454,67.8434530581454,50.2849211123768,43,7.2465856990745,3,16,17
26,5,1,0.130942682647613,100.43,61.39,42,7.58067083550194,3,14,15
26,7,1,0.23664188622112,108.164439428844,54.9178692710323,38,7.03669681565578,2,12,13
26,8,1,0.419932760698641,63.1146018866491,42.2162327115524,28,7.16685060241932,6,21,22
26,9,1,-0.0160012883461362,89.93,44.89,27,7.21046123672418,6,32,33
27,4,1,0.205124959495171,65.9844657480778,50.2785533088391,48,7.32375421045705,3,16,17
27,5,1,0.102970140197134,97.79,61.31,48,7.46567989748057,3,14,15
27,7,1,0.27326589291039,109.713369050822,56.2307192467366,42,7.1213462548842,2,12,13
27,8,1,0.422927906426644,62.5131901472568,41.9285662173473,31,7.30398205003847,6,21,22
27,9,1,0.0428219931073214,93.29,44.81,31,7.53107440406652,6,32,33
28,4,1,0.217206478888639,64.5662457801236,49.7287519772675,49,7.22897174786972,3,16,17
28,8,1,0.404647994102897,62.7602161530982,41.3451663492194,33,7.17110848285282,6,21,22
28,9,1,0.0704039586126904,95.305172905469,44.8612386675765,33,7.55607243865791,6,32,33
28,12,1,0.0800867807544909,100.31160321469,52.821602017818,22,6.23581384626381,7,38,39
28,13,1,0.546072686587054,121.102382188433,58.6730471127904,24,7.39948370329612,7,36,37
28,14,1,-0.0255409428800661,84.27,59.86,25,6.94034881629882,5,26,27
28,15,1,0.215892716846305,109.77,62.36,27,7.18385678036714,5,28,29
29,8,1,0.373066964900134,63.7010537159978,42.0324278012958,36,7.43393319436376,6,21,22
29,9,1,0.143021212986685,99.5776391825771,45.6089430484913,38,7.0522170252181,6,32,33
29,12,1,0.0443035050913997,101.43,54.17,24,6.53626307641285,7,38,39
29,13,1,0.702982604045311,124.076496039803,61.4070826581343,26,7.19177886854758,7,36,37
29,14,1,-0.026256984605027,81.93,60.17,27,7.12588381320949,5,26,27
29,15,1,0.213288895163737,109.335492284317,63.0528323079275,30,7.19183193987042,5,28,29
29,16,1,0.541571219728925,49.7438085961872,45.840708398544,29,6.92968851339798,4,0,0
29,17,1,-0.119435105212686,76.43,52.17,30,6.3850870178785,4,0,0
30,8,1,0.332271772795835,64.6376172327578,41.9506075015733,38,7.41757457064992,6,21,22
30,9,1,0.253016628881217,100.79,45.06,40,7.06533126974057,6,32,33
30,12,1,-0.0364027898099203,99.3081973752018,54.0596687458064,26,6.14513451645856,7,38,39
30,13,1,0.661285778530594,123.404132099934,61.2707967537884,26,7.47932828887109,7,36,37
30,14,1,0.0786480090015538,79.79,60.56,29,6.87804830924808,5,26,27
30,15,1,0.190556834712189,109.384702839857,63.0690505401541,32,6.84850630725668,5,28,29
30,16,1,0.543941070160652,49.5312438598952,45.4878378898112,31,7.05672178207136,4,0,0
30,17,1,-0.208204085970825,78.2792018566785,51.456648447412,32,6.11810684937278,4,0,0
31,8,1,0.241942513825993,66.975179277723,41.6065170957423,43,7.27984128810847,6,21,22
31,9,1,0.344985903661208,105.349459890076,45.1009082942521,46,6.98119071774658,6,32,33
31,12,1,-0.164072894710936,96.32,54.77,30,5.84965765681504,7,38,39
31,13,1,0.632152727858183,122.615441427404,61.366621315668,29,7.26327106473469,7,36,37
31,14,1,0.193782569753941,76.5219306147033,61.6924311430127,33,7.01122479351052,5,26,27
31,15,1,0.166503441322096,108.402867583458,63.2769148515602,35,6.96207916042102,5,28,29
31,16,1,0.600174928439294,47.9947631697441,44.7052131605737,30,7.14955876057891,4,0,0
31,17,1,-0.180862561774706,79.9099390663411,51.2618444513723,41,6.07485534733464,4,0,0
32,9,1,0.366167325601649,107.469019738806,45.223146775616,49,6.8362350811063,6,32,33
32,12,1,-0.16498527609254,95.3653292903578,55.1010914833177,32,5.75145985531587,7,38,39
32,13,1,0.620136021429733,122.871145860073,61.3762005840996,30,6.97064399513062,7,36,37
32,14,1,0.209367145156395,75.9978409065412,62.2118373562806,35,6.90009184980056,5,26,27
32,15,1,0.180404418635968,108.469427443499,63.2062287905618,37,7.20306863143212,5,28,29
32,16,1,0.636024328067797,46.5907672368028,43.7952309026455,30,7.05198404807743,4,0,0
32,17,1,-0.173787851299018,79.29,50.69,44,6.08715454504799,4,0,0
32,21,1,0.708211589831812,55.489047065523,40.709052817474,21,7.01869836986459,8,44,45
32,22,1,-0.133438188567849,76.79,44.69,26,6.73087911198382,8,42,43
33,9,1,0.425903474971704,109.457810794207,45.5927623033058,55,7.13082649583879,6,32,33
33,12,1,-0.198622950844297,94.0986597715016,55.2001696129783,37,5.69763794238001,7,38,39
33,13,1,0.664425017924917,124.031274125073,62.7207895366915,33,6.92500195719752,7,36,37
33,14,1,0.229983522377173,73.1271456641979,62.6091841844013,40,6.99306740652087,5,26,27
33,15,1,0.234823104368764,109.83528418001,64.367502201631,41,7.23397825224307,5,28,29
33,16,1,0.633906146410269,49.5144152383888,43.7147283606322,47,7.4243494184385,4,0,0
33,17,1,-0.198708396766028,86.9111371647504,49.818540473022,36,5.90805077051684,4,0,0
33,21,1,0.669179746971,52.7718225377799,39.3045021908314,27,7.06379751490267,8,44,45
33,22,1,-0.129258788810819,78,44.71,28,6.83691677905893,8,42,43
33,24,8,0.177247073045964,41,27.71,7,2.93001154909462,0,0,0
34,9,1,0.444407649621381,110.564884714565,45.8657017666259,57,7.29088661365876,6,32,33
34,12,1,-0.201348055665361,94.0098941021359,55.1099037679546,38,5.90919630344299,7,38,39
34,13,1,0.665682123515862,124.655191527148,63.1470086169145,36,6.910423545599,7,36,37
34,16,1,0.463512229965147,54.6843861180793,44.0744046522391,61,7.3664542765458,4,0,0
34,17,1,-0.176377055554979,94.8322680023817,47.7277570756284,22,5.97851191257559,4,0,0
34,21,1,0.645671092127843,52.2176134910879,39.3195634138195,28,6.94730946584338,8,44,45
34,22,1,-0.112435179377134,77.92,44.22,28,6.86237493243242,8,42,43
34,26,1,0.243278119161026,62.9052767698437,60.3404427525843,22,6.62224520452459,14,0,0
34,27,1,0.319143212395738,82.1314945546986,65.5126280103113,21,6.75164949027413,14,0,0
34,28,1,-0.0514258299337402,99.92,62.22,22,7.2105597472733,15,0,0
34,29,1,0.566907231706521,119.92,67.22,22,6.90470638501059,15,0,0
35,12,1,-0.248409522961568,95.260514957213,55.0563733793593,44,5.86474100891315,7,38,39
35,17,1,-0.266732554196916,98.53,47.21,24,6.05734441538849,4,0,0
35,21,1,0.534803193830928,52.0203282766173,37.0703689524757,32,6.81788971536071,8,44,45
35,22,1,-0.164842598949895,80.03,44.71,33,6.52721560543524,8,42,43
35,26,1,0.56331557742175,56.1072553658403,57.443003793493,24,6.69934876873845,14,0,0
35,27,1,0.326924186576151,78.03,65.71,24,6.63495747616622,14,0,0
35,28,1,-0.0599506517634444,98.03,62.21,25,6.96353839963005,15,0,0
35,29,1,0.542782458777256,121.788260268692,67.281862599607,24,6.86901665231256,15,0,0
35,30,10,0.715382562440799,38.3740937609726,22.964842371363,9,2.4979338685684,0,0,0
35,31,11,1.06597255386576,35.5923701395979,31.951826601689,26,7.19540440148688,0,0,0
35,32,1,0.188145509827497,99.7258610624317,38.1341284897095,35,6.83633837570277,9,48,49
35,33,1,0.64380511926137,126.729878409678,53.1099087783765,31,6.70618428588263,9,0,0
35,34,12,0.321840789334631,52.8718433154461,47.1843273796977,24,6.39944757022078,0,0,0
35,35,13,-0.218938740810891,74.1385969101234,53.1980642489587,26,5.95699752311884,0,46,47
35,36,1,0.116694808041606,117.088215068129,57.2134005579517,18,6.08637918919508,13,0,0
35,37,1,0.9812844749368,132.03,68.21,21,6.76228993900356,13,0,0
36,17,1,-0.2562715029524,99.33,47.18,26,5.83169886556947,4,0,0
36,21,1,0.346601765230799,55.3204445629569,38.5907988008855,28,6.91263903999958,8,44,45
